Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,07:07:00,Living Room,27,82.5,9.99,Not Detected
23/2/2026,07:06:58,Bedroom,26.9,82.4,6.32,Not Detected
23/2/2026,07:06:02,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,07:05:53,Living Room,27,82.6,9.89,Not Detected
23/2/2026,07:03:01,Bedroom,26.9,82.4,6.06,Not Detected
23/2/2026,07:02:46,Living Room,27,82.5,9.91,Not Detected
23/2/2026,07:00:03,Living Room,27,82.5,9.99,Not Detected
23/2/2026,07:00:00,Bedroom,26.8,82.4,6.25,Not Detected
23/2/2026,06:58:02,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,06:57:52,Living Room,27,82.5,9.91,Not Detected
23/2/2026,06:56:45,Living Room,27,82.5,9.89,Not Detected
23/2/2026,06:56:44,Bedroom,26.9,82.4,6.35,Not Detected
23/2/2026,06:54:03,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:53:50,Living Room,27.1,82.6,10.09,Not Detected
23/2/2026,06:53:00,Bedroom,26.9,82.4,6.4,Not Detected
23/2/2026,06:52:48,Living Room,27.1,82.5,10.09,Not Detected
23/2/2026,06:52:01,Living Room,27,82.5,9.91,Not Detected
23/2/2026,06:52:00,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:51:00,Bedroom,26.9,82.4,6.37,Not Detected
23/2/2026,06:50:51,Living Room,27,82.5,9.89,Not Detected
23/2/2026,06:50:05,Living Room,27,82.5,9.96,Not Detected
23/2/2026,06:50:04,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:49:01,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,06:48:59,Bedroom,26.9,82.4,6.35,Not Detected
23/2/2026,06:48:03,Bedroom,26.9,82.4,6.13,Not Detected
23/2/2026,06:47:55,Living Room,27.1,82.5,9.96,Not Detected
23/2/2026,06:47:00,Living Room,27.1,82.5,9.67,Not Detected
23/2/2026,06:46:58,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,06:45:55,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,06:45:54,Bedroom,26.9,82.4,6.37,Not Detected
23/2/2026,06:45:00,Living Room,27.1,82.5,9.96,Not Detected
23/2/2026,06:44:58,Bedroom,26.9,82.4,5.98,Not Detected
23/2/2026,06:44:03,Living Room,27,82.5,9.77,Not Detected
